x;y
120;124
120;124
120;124
120;124
120;124
118;124
116;124
115;124
113;124
109;124
107;124
105;124
103;122
99;119
97;117
96;116
96;114
96;109
96;106
96;103
96;101
96;95
96;92
96;88
96;85
93;78
90;75
88;73
85;70
80;65
75;63
71;61
66;59
56;55
52;53
48;51
45;49
39;44
35;42
32;39
30;37
27;31
25;28
24;25
22;21
19;14
17;11
15;9
14;6
9;0
6;-2
3;-4
0;-6
-5;-9
-8;-10
-11;-12
-14;-13
-20;-13
-23;-13
-26;-13
-28;-13
-33;-15
-35;-17
-37;-20
-39;-22
-42;-27
-43;-30
-45;-33
-48;-40
-50;-43
-52;-46
-54;-48
-58;-52
-60;-53
-62;-55
-64;-57
-67;-60
-69;-61
-71;-63
-72;-64
-76;-67
-78;-69
-79;-71
-83;-74
-85;-76
-87;-78
-89;-80
-91;-82
-95;-86
-97;-88
-98;-90
-100;-92
-104;-96
-105;-98
-106;-100
-106;-105
-106;-108
-106;-110
-106;-113
-106;-115
-106;-120
-106;-122
-106;-124
-106;-126
-110;-130
-113;-130
-116;-130
-118;-130
-124;-130
-124;-130
-124;-130
