x;y
-122;125
-122;123
-122;121
-122;119
-122;118
-122;111
-122;106
-122;101
-122;92
-122;92
-122;84
-122;81
-122;78
-122;71
-122;68
-122;64
-122;57
-122;57
-122;50
-122;46
-122;39
-122;39
-122;32
-122;28
-122;24
-122;17
-122;14
-122;10
-122;6
-122;0
-122;-3
-122;-6
-122;-10
-122;-16
-122;-19
-122;-22
-122;-27
-122;-30
-122;-33
-122;-36
-122;-39
-122;-45
-122;-49
-122;-52
-122;-58
-122;-60
-122;-63
-122;-65
-122;-68
-122;-73
-122;-75
-122;-78
-122;-80
-122;-86
-122;-88
-122;-90
-122;-94
-122;-96
-122;-98
-122;-100
-122;-102
-122;-106
-122;-108
-122;-110
-122;-114
-122;-116
-122;-118
-122;-120
-122;-123
-122;-123
