time;x;y;fx;fy
63;120;-120;0;0
126;120;-120;0;0
189;120;-120;0;0
252;120;-118;0;388
315;120;-115;0;388
378;120;-111;0;388
441;120;-107;0;388
504;120;-100;0;388
567;120;-96;0;542
630;120;-93;0;542
693;120;-89;0;542
756;120;-82;0;542
819;120;-78;0;542
882;120;-75;0;506
945;120;-71;0;506
1008;120;-64;0;506
1071;120;-60;0;506
1134;120;-56;0;506
1197;120;-53;0;516
1260;120;-45;0;516
1323;120;-42;0;516
1386;120;-38;0;516
1449;120;-31;0;516
1512;120;-27;0;476
1575;120;-23;0;476
1638;120;-20;0;476
1701;120;-16;0;476
1764;120;-9;0;476
1827;120;-5;0;466
1890;120;-1;0;466
1953;120;5;0;466
2016;120;8;0;466
2079;120;12;0;466
2142;120;16;0;466
2205;120;23;0;379
2268;120;27;0;379
2331;120;30;0;379
2394;120;34;0;379
2457;120;41;0;368
2520;120;45;0;368
2583;120;49;0;368
2646;120;52;0;368
2709;120;60;0;368
2772;120;63;0;330
2835;120;67;0;330
2898;120;71;0;330
2961;120;78;0;330
3024;120;82;0;330
3087;120;85;0;309
3150;120;89;0;309
3213;120;96;0;309
3276;120;100;0;309
3339;120;103;0;309
3402;120;107;0;207
3465;120;114;0;207
3528;120;117;0;207
3591;120;120;0;207
3654;120;123;0;207
3717;120;127;0;0
3780;118;127;-137;0
3843;116;127;-137;0
3906;114;125;-137;-143
3969;110;121;-137;-143
4032;108;119;-137;-143
4095;106;117;-137;-143
4158;104;115;-179;-143
4221;98;115;-179;-101
4284;95;115;-179;-101
4347;92;115;-179;-101
4410;90;115;-179;-101
4473;88;114;-98;-132
4536;88;112;-98;-132
4599;88;110;-98;-132
4662;88;109;-98;-132
4725;88;105;-98;-132
4788;88;103;-70;-169
4851;88;101;-70;-169
4914;88;98;-70;-169
4977;88;93;-70;-169
5040;88;91;-70;-169
5103;88;88;-185;-199
5166;85;85;-185;-199
5229;80;78;-185;-199
5292;78;75;-185;-199
5355;75;72;-185;-199
5418;72;69;-247;-31
5481;65;69;-247;-31
5544;61;69;-247;-31
5607;57;69;-247;-31
5670;53;69;-247;-31
5733;47;69;-208;-100
5796;44;69;-208;-100
5859;41;69;-208;-100
5922;38;69;-208;-100
5985;32;69;-208;-100
6048;30;67;-119;-191
6111;29;64;-119;-191
6174;27;61;-119;-191
6237;24;55;-119;-191
6300;23;52;-119;-191
6363;22;49;-42;-206
6426;22;46;-42;-206
6489;22;39;-42;-206
6552;22;36;-42;-206
6615;22;33;-42;-206
6678;21;30;-133;-138
6741;18;27;-133;-138
6804;16;25;-133;-138
6867;14;23;-133;-138
6930;13;21;-133;-138
6993;7;18;-211;-121
7056;4;16;-211;-121
7119;0;15;-211;-121
7182;-2;13;-211;-121
7245;-8;10;-110;-149
7308;-8;8;-110;-149
7371;-8;5;-110;-149
7434;-8;3;-110;-149
7497;-8;0;-110;-149
7560;-8;-2;-91;-149
7623;-8;-4;-91;-171
7686;-8;-6;-91;-171
7749;-8;-12;-91;-171
7812;-8;-14;-91;-171
7875;-8;-17;-91;-171
7938;-10;-19;-159;-171
8001;-15;-23;-159;-122
8064;-17;-24;-159;-122
8127;-20;-26;-159;-122
8190;-22;-28;-159;-122
8253;-27;-30;-169;-102
8316;-29;-30;-169;-102
8379;-31;-30;-169;-102
8442;-34;-30;-169;-102
8505;-37;-30;-107;-102
8568;-37;-31;-107;-156
8631;-37;-33;-107;-156
8694;-37;-35;-107;-156
8757;-37;-40;-107;-156
8820;-38;-42;-136;-156
8883;-40;-44;-136;-114
8946;-42;-45;-136;-114
9009;-46;-48;-136;-114
9072;-47;-49;-136;-114
9135;-50;-51;-226;-114
9198;-53;-52;-226;-101
9261;-61;-52;-226;-101
9324;-65;-52;-226;-101
9387;-68;-52;-226;-101
9450;-72;-52;-160;-101
9513;-76;-54;-160;-142
9576;-79;-56;-160;-142
9639;-81;-58;-160;-142
9702;-85;-62;-105;-142
9765;-85;-64;-105;-195
9828;-85;-68;-105;-195
9891;-85;-71;-105;-195
9954;-85;-78;-105;-195
10017;-85;-81;-105;-195
10080;-87;-84;-138;-195
10143;-89;-87;-138;-195
10206;-91;-89;-138;-150
10269;-94;-93;-138;-150
10332;-96;-95;-138;-150
10395;-98;-97;-148;-150
10458;-102;-101;-148;-145
10521;-105;-103;-148;-145
10584;-107;-105;-148;-145
10647;-109;-109;-93;-145
10710;-109;-109;-93;-145
10773;-109;-113;-93;-130
10836;-109;-115;-93;-130
10899;-109;-117;-93;-130
10962;-109;-118;-93;-130
11025;-109;-122;0;-130
11088;-109;-123;0;0
11151;-109;-123;0;0
11214;-109;-123;0;0
11277;-109;-123;0;0
11340;-108;-123;395;0
11403;-101;-123;395;0
11466;-101;-123;395;0
11529;-93;-123;395;30
11592;-90;-123;395;30
11655;-87;-123;886;30
11718;-95;-123;886;30
11781;-98;-123;886;35
11844;-102;-123;886;35
11907;-105;-123;886;35
11970;-109;-123;1029;35
12033;-116;-123;1029;35
12096;-120;-123;1029;0
12159;-123;-123;1029;0
12222;-127;-123;1029;0
12285;-127;-123;509;0
12348;-124;-123;509;0
12411;-120;-123;509;0
12474;-113;-123;509;0
12537;-109;-123;509;0
12600;-108;-123;0;0
12663;-108;-123;0;0
12726;-108;-123;0;33
12789;-108;-123;0;33
12852;-108;-123;0;33
12915;-106;-123;327;33
12978;-102;-123;327;33
13041;-95;-123;327;45
13104;-91;-123;327;45
13167;-87;-123;327;45
13230;-84;-123;626;45
13293;-76;-123;626;45
13356;-73;-123;626;35
13419;-69;-123;626;35
13482;-65;-123;626;35
13545;-58;-123;671;35
13608;-55;-123;671;35
13671;-51;-123;671;39
13734;-47;-123;671;39
13797;-40;-123;677;39
13860;-36;-123;677;39
13923;-33;-123;677;39
13986;-25;-123;677;35
14049;-22;-123;677;35
14112;-18;-123;656;35
14175;-14;-123;656;35
14238;-11;-123;656;35
14301;-3;-123;656;38
14364;0;-123;656;38
14427;3;-123;686;38
14490;10;-123;686;38
14553;14;-123;686;38
14616;18;-123;686;28
14679;25;-123;686;28
14742;25;-123;686;28
14805;28;-123;688;28
14868;36;-123;688;28
14931;39;-123;688;28
14994;43;-123;688;26
15057;50;-123;615;26
15120;54;-123;615;26
15183;58;-123;615;26
15246;65;-123;615;0
15309;68;-123;615;0
15372;72;-123;615;0
15435;76;-123;532;0
15498;83;-123;532;0
15561;87;-123;532;0
15624;90;-123;532;0
15687;98;-123;528;0
15750;98;-123;528;0
15813;105;-123;528;0
15876;109;-123;528;0
15939;112;-123;528;0
16002;116;-123;528;0
16065;123;-123;431;0
16128;127;-123;431;0
16191;131;-123;431;59
16254;138;-123;431;59
16317;141;-123;-56;59
16380;142;-123;-56;59
16443;142;-123;-56;59
16506;142;-123;-56;104
16569;142;-123;-56;104
16632;138;-123;-256;104
16695;134;-123;-256;104
16758;126;-123;-256;104
16821;123;-123;-256;42
16884;119;-123;-256;42
16947;115;-123;-249;42
17010;111;-123;-249;42
17073;103;-123;-249;42
17136;100;-120;-249;392
17199;96;-117;-249;392
17262;95;-110;-93;392
17325;95;-110;-93;392
17388;95;-103;-93;392
17451;95;-99;-93;502
17514;95;-92;-87;502
17577;95;-88;-87;502
17640;95;-84;-87;502
17703;95;-81;-87;502
17766;95;-79;-87;0
17829;95;-79;-187;0
17892;92;-79;-187;0
17955;89;-79;-187;0
18018;86;-79;-187;0
18081;80;-79;-187;93
18144;77;-79;-142;93
18207;74;-79;-142;93
18270;74;-79;-142;93
18333;70;-78;-142;315
18396;68;-74;-142;315
18459;66;-71;-137;315
18522;64;-67;-137;315
18585;61;-60;-137;315
18648;59;-57;-137;240
18711;57;-53;-137;240
18774;53;-45;-167;240
18837;50;-42;-167;240
18900;48;-38;-167;240
18963;46;-34;-167;240
19026;41;-31;-167;127
19089;38;-29;-177;127
19152;36;-28;-177;127
19215;31;-24;-177;127
19278;31;-24;-177;127
19341;25;-21;-177;131
19404;23;-19;-151;131
19467;19;-16;-151;131
19530;19;-16;-151;131
19593;15;-12;-151;201
19656;13;-8;-151;201
19719;11;-5;-177;201
19782;6;0;-177;201
19845;3;4;-177;201
19908;1;6;-177;166
19971;-3;11;-171;166
20034;-3;11;-171;166
20097;-8;16;-171;166
20160;-11;19;-171;166
20223;-13;21;-171;151
20286;-18;25;-185;151
20349;-21;27;-185;151
20412;-23;29;-185;151
20475;-26;31;-185;151
20538;-31;35;-185;149
20601;-34;37;-203;149
20664;-37;39;-203;149
20727;-41;42;-203;149
20790;-47;46;-203;145
20853;-50;48;-203;145
20916;-54;50;-163;145
20979;-56;52;-163;145
21042;-58;54;-163;145
21105;-63;58;-163;145
21168;-66;61;-163;204
21231;-68;64;-163;204
21294;-72;71;-136;204
21357;-74;74;-136;204
21420;-76;77;-136;204
21483;-80;83;-136;177
21546;-80;83;-136;177
21609;-83;88;-125;177
21672;-85;91;-125;177
21735;-87;93;-125;177
21798;-90;98;-125;119
21861;-92;99;-144;119
21924;-94;101;-144;119
21987;-96;102;-144;119
22050;-100;105;-144;119
22113;-102;107;-144;119
22176;-104;108;-139;67
22239;-106;108;-139;67
22302;-108;108;-139;67
22365;-112;108;-139;67
22428;-114;108;-139;67
22491;-115;108;-103;67
22554;-115;108;-103;67
22617;-115;108;-103;67
22680;-115;108;-103;67
22743;-115;108;-103;67
22806;-115;108;-97;268
22869;-115;118;-97;268
22932;-115;123;-97;268
22995;-115;127;-97;268
23058;-115;130;-104;81
23121;-115;130;-104;81
23184;-115;130;-104;81
23247;-115;130;-104;81
23310;-115;130;-104;81
23373;-115;130;-104;81
23436;-115;130;0;-47
23499;-115;130;0;-47
23562;-115;123;0;-400
23625;-115;120;0;-400
23688;-115;116;0;-400
23751;-115;112;-43;-400
23814;-115;105;-43;-329
23877;-115;101;-43;-329
23940;-115;98;-43;-329
24003;-115;94;-43;-329
24066;-115;87;-28;-329
24129;-115;83;-28;-399
24192;-115;79;-28;-399
24255;-115;76;-28;-399
24318;-115;72;-28;-399
24381;-115;65;-34;-399
24444;-115;61;-34;-377
24507;-115;57;-34;-377
24570;-115;50;-34;-377
24633;-115;50;-34;-377
24696;-115;43;-37;-377
24759;-115;36;-37;-334
24822;-115;32;-37;-334
24885;-115;28;-37;-334
24948;-115;25;-34;-334
25011;-115;17;-34;-288
25074;-115;14;-34;-288
25137;-115;10;-34;-288
25200;-115;6;-34;-288
25263;-115;0;-26;-288
25326;-115;0;-26;-288
25389;-115;-7;-26;-234
25452;-115;-10;-26;-234
25515;-115;-14;-26;-234
25578;-115;-17;-26;-234
25641;-115;-24;-28;-234
25704;-115;-27;-28;-229
25767;-115;-30;-28;-229
25830;-115;-34;-28;-229
25893;-115;-40;0;-229
25956;-115;-44;0;-229
26019;-115;-50;0;-211
26082;-115;-50;0;-211
26145;-115;-57;0;-211
26208;-115;-60;0;-211
26271;-115;-67;0;-197
26334;-115;-70;0;-197
26397;-115;-74;0;-197
26460;-115;-77;0;-197
26523;-115;-80;0;-197
26586;-115;-83;0;-197
26649;-115;-89;0;-192
26712;-115;-92;0;-192
26775;-115;-97;0;-192
26838;-115;-100;0;-192
26901;-115;-103;0;-202
26964;-115;-106;0;-202
27027;-115;-110;0;-202
27090;-115;-116;0;-202
27153;-115;-120;0;-202
27216;-115;-123;0;-153
27279;-115;-127;0;-153
27342;-115;-129;0;-153
27405;-115;-130;0;-153
27468;-115;-130;1053;-153
27531;-119;-130;1053;0
27594;-122;-130;1053;0
27657;-129;-130;1053;0
27720;-133;-130;1053;0
27783;-136;-130;1053;0
27846;-131;-130;1351;0
27909;-128;-130;1351;0
27972;-124;-130;1351;0
28035;-120;-130;1351;0
28098;-118;-130;833;0
28161;-122;-130;833;0
28224;-125;-130;833;0
28287;-129;-130;833;0
28350;-136;-130;833;0
28413;-139;-130;1122;0
28476;-143;-130;1122;0
28539;-147;-130;1122;0
28602;-154;-130;1122;0
28665;-157;-130;1122;0
28728;-158;-130;432;0
28791;-154;-130;432;0
28854;-150;-130;432;0
28917;-143;-130;432;0
28980;-139;-130;432;102
29043;-137;-130;0;102
29106;-137;-130;0;102
29169;-137;-130;0;102
29232;-137;-130;0;102
29295;-137;-130;0;39
29358;-135;-130;112;39
29421;-134;-130;112;39
29484;-132;-130;112;39
29547;-131;-130;112;39
29610;-129;-130;112;60
29673;-124;-130;570;60
29736;-121;-130;570;60
29799;-117;-130;570;60
29862;-110;-130;570;60
29925;-106;-130;570;65
29988;-102;-130;554;65
30051;-99;-130;554;65
30114;-95;-130;554;65
30177;-88;-130;554;65
30240;-84;-130;554;68
30303;-77;-130;671;68
30366;-73;-130;671;68
30429;-70;-130;671;68
30492;-66;-130;671;68
30555;-62;-130;671;110
30618;-55;-130;758;110
30681;-55;-130;758;110
30744;-48;-130;758;110
30807;-44;-130;758;110
30870;-40;-129;758;146
30933;-32;-124;702;146
30996;-28;-122;702;146
31059;-23;-120;702;146
31122;-19;-118;702;146
31185;-12;-117;702;82
31248;-8;-117;719;82
31311;-4;-117;719;82
31374;2;-117;719;82
31437;6;-117;719;0
31500;9;-117;719;0
31563;13;-117;649;0
31626;16;-117;649;0
31689;24;-117;649;0
31752;27;-117;649;0
31815;35;-117;696;0
31878;38;-117;696;0
31941;42;-117;696;0
32004;45;-117;696;0
32067;49;-117;696;0
32130;56;-117;696;0
32193;60;-117;685;0
32256;64;-117;685;0
32319;71;-117;685;0
32382;75;-117;685;0
32445;78;-117;685;0
32508;86;-117;588;0
32571;89;-117;588;0
32634;93;-117;588;0
32697;96;-117;588;0
32760;100;-117;588;0
32823;107;-117;575;0
32886;111;-117;575;0
32949;115;-117;575;0
33012;118;-117;575;0
33075;122;-117;575;0
33138;126;-117;344;0
33201;133;-117;344;0
33264;137;-117;344;0
33327;140;-117;344;39
33390;146;-117;0;39
33453;146;-117;0;39
33516;146;-117;0;39
33579;146;-117;0;64
33642;146;-117;0;64
33705;146;-117;0;64
33768;146;-117;0;64
33831;146;-117;0;64
33894;146;-117;0;118
33957;146;-115;-69;118
34020;146;-114;-69;118
34083;146;-111;-69;118
34146;146;-109;-69;118
34209;146;-108;-69;118
34272;146;-104;-69;381
34335;142;-96;-177;381
34398;140;-91;-177;381
34461;138;-87;-177;381
34524;135;-82;-177;381
34587;130;-81;-205;0
34650;127;-81;-205;0
34713;124;-83;-205;-157
34776;120;-85;-205;-157
34839;114;-90;-205;-157
34902;111;-92;-135;-157
34965;109;-94;-135;-157
35028;107;-96;-135;-143
35091;105;-98;-135;-143
35154;101;-102;-135;-143
35217;100;-104;-77;-143
35280;100;-106;-77;-143
35343;100;-107;-77;0
35406;100;-107;-77;0
35469;100;-106;-77;429
35532;100;-103;-229;429
35595;93;-96;-229;429
35658;89;-92;-229;429
35721;86;-89;-229;429
35784;83;-85;-229;358
35847;76;-79;-217;358
35910;72;-75;-217;358
35973;69;-72;-217;358
36036;66;-68;-217;358
36099;59;-62;-150;227
36162;57;-58;-150;227
36225;55;-55;-150;227
36288;53;-52;-150;227
36351;49;-45;-150;227
36414;47;-42;-150;235
36477;44;-38;-183;235
36540;42;-34;-183;235
36603;37;-27;-183;235
36666;35;-24;-183;235
36729;32;-21;-183;172
36792;26;-16;-194;172
36855;23;-14;-194;172
36918;19;-11;-194;172
36981;16;-9;-194;172
37044;10;-4;-187;166
37107;8;-1;-187;166
37170;5;0;-187;166
37233;3;3;-187;166
37296;0;5;-187;166
37359;-4;10;-176;165
37422;-6;13;-176;165
37485;-9;15;-176;165
37548;-11;17;-176;165
37611;-14;20;-176;165
37674;-19;25;-185;188
37737;-22;28;-185;188
37800;-24;30;-185;188
37863;-27;33;-185;188
37926;-30;36;-185;188
37989;-35;42;-156;206
38052;-39;48;-156;206
