x;y
-114;130
-114;130
-114;129
-114;125
-114;123
-114;122
-114;120
-114;115
-114;115
-114;110
-114;105
-114;105
-114;101
-114;99
-114;95
-114;95
-116;92
-118;92
-119;92
-122;92
-124;92
-124;92
-124;89
-124;87
-124;82
-124;79
-124;77
-124;77
-124;77
-124;77
-124;77
-124;77
-124;71
-124;68
-124;64
-124;58
-124;55
-124;51
-124;48
-124;44
-124;38
-124;34
-124;30
-124;23
-124;19
-124;16
-124;12
-124;5
-124;1
-124;-1
-124;-9
-124;-12
-124;-16
-124;-20
-124;-23
-124;-30
-124;-35
-124;-40
-124;-45
-124;-50
-124;-59
-124;-61
-124;-65
-124;-66
-124;-68
-124;-70
-124;-70
-124;-70
-124;-70
-124;-70
-124;-73
-124;-76
-124;-79
-124;-82
-124;-89
-124;-92
-124;-93
-124;-95
-124;-97
-124;-98
-124;-102
-124;-104
-124;-105
-124;-109
-124;-110
-124;-112
-124;-112
-124;-112
-124;-112
-124;-112
-124;-112
-124;-116
-124;-118
-124;-120
-124;-122
-124;-124
-124;-124
-124;-124
-124;-124
-124;-124
-124;-124
