x;y
120;-119
120;-119
120;-119
120;-119
120;-117
120;-113
120;-110
120;-102
120;-99
120;-95
120;-92
120;-84
120;-81
120;-77
120;-73
120;-66
120;-63
120;-59
120;-55
120;-48
120;-45
120;-41
120;-37
120;-30
120;-26
120;-23
120;-19
120;-12
120;-8
120;-5
120;-1
120;5
120;9
120;12
120;16
120;23
120;27
120;31
120;34
120;42
120;45
120;49
120;53
120;60
120;64
120;67
120;71
120;78
120;82
120;85
120;89
120;96
120;100
120;104
120;107
120;112
120;114
120;117
120;119
120;122
120;125
120;127
120;129
120;130
