x;y
120;-120
120;-120
120;-120
120;-119
120;-116
120;-112
120;-108
120;-101
120;-98
120;-94
120;-90
120;-83
120;-79
120;-76
120;-72
120;-65
120;-61
120;-58
120;-54
120;-47
120;-43
120;-39
120;-36
120;-29
120;-25
120;-21
120;-18
120;-11
120;-7
120;-3
120;0
120;7
120;10
120;14
120;18
120;25
120;28
120;32
120;36
120;39
120;47
120;50
120;54
120;61
120;65
120;68
120;72
120;79
120;83
120;87
120;94
120;98
120;101
120;105
120;107
120;107
120;107
120;107
120;107
120;107
120;107
120;107
120;107
120;108
120;111
120;115
120;118
120;126
120;128
