x;y
-119;-123
-119;-123
-119;-123
-119;-123
-119;-123
-117;-123
-114;-123
-106;-123
-106;-123
-99;-123
-92;-123
-92;-123
-85;-123
-81;-123
-77;-123
-74;-123
-66;-123
-63;-123
-59;-123
-52;-123
-48;-123
-45;-123
-41;-123
-34;-123
-34;-123
-26;-123
-19;-123
-19;-123
-12;-123
-8;-123
-4;-123
-1;-123
6;-123
9;-123
13;-123
20;-123
24;-123
27;-123
31;-123
35;-123
38;-123
46;-123
49;-123
53;-123
60;-123
64;-123
68;-123
75;-123
79;-123
82;-123
86;-123
90;-123
97;-123
100;-123
104;-123
107;-123
111;-123
113;-123
115;-123
117;-123
118;-123
