x;y
-115;122
-115;122
-115;122
-115;122
-115;122
-114;122
-106;122
-103;122
-99;122
-95;122
-92;122
-88;122
-84;122
-77;122
-73;122
-70;122
-62;122
-59;122
-55;122
-48;122
-44;122
-40;122
-37;122
-30;122
-26;122
-22;122
-19;122
-11;122
-8;122
-4;122
2;122
6;122
10;122
13;122
21;122
24;122
28;122
31;122
39;122
42;122
46;122
50;122
57;122
61;122
64;122
68;122
72;122
79;122
83;122
86;122
90;122
94;122
101;122
105;122
108;122
112;122
119;122
123;122
130;122
131;122
131;122
131;122
131;122
131;122
