time;x;y;fx;fy
63;120;-120;0;0
126;120;-120;0;0
189;120;-120;0;274
252;120;-115;0;274
315;120;-110;0;274
378;120;-105;0;274
441;120;-96;0;274
504;120;-91;0;274
567;120;-87;0;328
630;120;-84;0;328
693;120;-76;0;328
756;120;-73;0;328
819;120;-69;0;328
882;120;-62;0;358
945;120;-58;0;358
1008;120;-54;0;358
1071;120;-51;0;358
1134;120;-47;0;358
1197;120;-40;0;427
1260;120;-36;0;427
1323;120;-32;0;427
1386;120;-29;0;427
1449;120;-22;0;427
1512;120;-18;0;427
1575;120;-14;0;427
1638;120;-7;0;427
1701;120;-3;0;427
1764;120;0;0;427
1827;120;3;0;345
1890;120;7;0;345
1953;120;14;0;345
2016;120;18;0;345
2079;120;21;0;345
2142;120;28;0;227
2205;120;32;0;227
2268;120;35;0;227
2331;120;38;0;227
2394;120;45;0;227
2457;120;47;0;164
2520;120;50;0;164
2583;120;52;0;164
2646;120;57;0;164
2709;120;60;0;164
2772;120;62;0;147
2835;120;64;0;147
2898;120;68;0;147
2961;120;70;0;147
3024;120;72;0;147
3087;120;75;0;198
3150;120;81;0;198
3213;120;85;0;198
3276;120;88;0;198
3339;120;91;0;198
3402;120;98;0;204
3465;120;101;0;204
3528;120;104;0;204
3591;120;107;0;204
3654;120;113;0;119
3717;120;115;0;119
3780;120;116;0;119
3843;120;118;0;119
3906;120;121;0;119
3969;120;122;0;0
4032;120;122;0;0
4095;120;122;0;0
4158;120;122;0;0
4221;120;122;0;0
4284;120;122;0;-73
4347;120;122;0;-73
4410;120;122;-57;-73
4473;120;122;-57;-73
4536;120;122;-57;-73
4599;120;122;-57;-150
4662;120;118;-57;-150
4725;120;116;-57;-150
4788;118;114;-160;-150
4851;116;112;-160;-150
4914;111;109;-160;-83
4977;109;109;-160;-83
5040;107;109;-160;-83
5103;104;109;-178;-83
5166;98;109;-178;-83
5229;95;109;-178;-100
5292;92;109;-178;-100
5355;90;109;-178;-100
5418;88;109;-71;-100
5481;88;109;-71;-100
5544;88;108;-71;-158
5607;88;106;-71;-158
5670;88;102;-74;-158
5733;88;100;-74;-158
5796;88;98;-74;-158
5859;88;96;-74;-117
5922;88;93;-74;-117
5985;88;91;-99;-117
6048;88;90;-99;-117
6111;88;88;-99;-117
6174;88;85;-99;-124
6237;88;83;-99;-124
6300;88;82;-129;-124
6363;86;80;-129;-124
6426;83;76;-129;-137
6489;81;75;-129;-137
6552;80;73;-129;-137
6615;78;71;-139;-137
6678;74;67;-139;-137
6741;72;65;-139;-126
6804;70;64;-139;-126
6867;68;62;-139;-126
6930;65;58;-139;-126
6993;63;57;-139;-126
7056;61;55;-139;-126
7119;59;53;-139;-162
7182;56;48;-139;-162
7245;53;46;-169;-162
7308;51;43;-169;-162
7371;48;41;-169;-162
7434;46;38;-169;-159
7497;41;33;-169;-159
7560;38;31;-185;-159
7623;36;28;-185;-159
7686;31;24;-185;-143
7749;28;22;-185;-143
7812;25;20;-185;-143
7875;23;18;-174;-143
7938;18;14;-174;-143
8001;15;11;-174;-165
8064;13;9;-174;-165
8127;10;6;-174;-165
8190;5;1;-170;-165
8253;3;0;-170;-165
8316;0;-3;-170;-144
8379;-1;-5;-170;-144
8442;-6;-9;-152;-144
8505;-8;-11;-152;-144
8568;-10;-13;-152;-144
8631;-12;-15;-152;-149
8694;-14;-17;-152;-149
8757;-19;-21;-162;-149
8820;-21;-23;-162;-149
8883;-23;-25;-162;-149
8946;-25;-27;-162;-152
9009;-29;-31;-162;-152
9072;-31;-33;-162;-152
9135;-33;-35;-140;-152
9198;-35;-37;-140;-152
9261;-40;-41;-140;-146
9324;-42;-44;-140;-146
9387;-44;-46;-140;-146
9450;-48;-50;-136;-146
9513;-50;-52;-136;-146
9576;-54;-56;-136;-165
9639;-54;-56;-136;-165
9702;-57;-61;-136;-165
9765;-59;-64;-136;-165
9828;-61;-67;-136;-165
9891;-65;-71;-136;-151
9954;-67;-73;-136;-151
10017;-69;-75;-136;-151
10080;-71;-77;-178;-151
10143;-74;-79;-178;-151
10206;-79;-84;-178;-174
10269;-81;-86;-178;-174
10332;-84;-89;-178;-174
10395;-86;-91;-178;-174
10458;-89;-94;-178;-174
10521;-94;-98;-178;-131
10584;-96;-100;-178;-131
10647;-99;-102;-178;-131
10710;-103;-105;-148;-131
10773;-106;-107;-148;-131
10836;-108;-109;-148;-115
10899;-110;-110;-148;-115
10962;-112;-112;-148;-115
11025;-115;-115;-132;-115
11088;-117;-116;-132;-115
11151;-119;-118;-132;-115
11214;-121;-118;-132;-96
11277;-124;-118;-132;-96
11340;-124;-118;-58;-96
11403;-124;-118;-58;-96
11466;-124;-118;-58;-96
11529;-124;-118;-58;0
11592;-124;-118;83;0
11655;-124;-118;83;0
11718;-124;-118;83;0
11781;-124;-118;83;0
11844;-124;-118;83;0
11907;-122;-118;648;0
11970;-118;-118;648;0
12033;-111;-118;648;0
12096;-108;-118;648;0
12159;-104;-118;648;0
12222;-100;-118;687;0
12285;-93;-118;687;0
12348;-89;-118;687;0
12411;-86;-118;687;0
12474;-82;-118;687;0
12537;-75;-118;715;0
12600;-71;-118;715;0
12663;-68;-118;715;0
12726;-64;-118;715;37
12789;-57;-118;749;37
12852;-53;-118;749;37
12915;-49;-118;749;37
12978;-46;-118;749;37
13041;-39;-118;749;36
13104;-35;-118;715;36
13167;-31;-118;715;36
13230;-28;-118;715;36
13293;-20;-118;715;0
13356;-17;-118;715;0
13419;-13;-118;589;0
13482;-6;-118;589;0
13545;-2;-118;589;0
13608;1;-118;589;0
13671;4;-118;589;0
13734;8;-118;589;0
13797;15;-118;484;0
13860;19;-118;484;0
13923;23;-118;484;0
13986;26;-118;484;0
14049;33;-118;421;0
14112;37;-118;421;0
14175;41;-118;421;0
14238;44;-118;421;0
14301;52;-118;421;0
14364;55;-118;366;0
14427;59;-118;366;0
14490;63;-118;366;0
14553;70;-118;366;0
14616;74;-118;366;-31
14679;77;-118;290;-31
14742;85;-118;290;-31
14805;88;-118;290;-31
14868;92;-118;290;-31
14931;96;-118;290;-29
14994;102;-118;198;-29
15057;106;-118;198;-29
15120;109;-118;198;-29
15183;115;-118;198;-26
15246;118;-118;30;-26
15309;118;-118;30;-26
15372;118;-118;30;-26
15435;118;-118;30;-26
15498;118;-118;30;0
15561;118;-118;30;0
15624;118;-118;0;0
15687;118;-118;0;0
15750;118;-118;0;0
15813;118;-118;0;0
15876;118;-118;0;46
15939;118;-118;0;46
16002;118;-118;0;46
16065;118;-118;-52;46
16128;118;-118;-52;46
16191;118;-118;-52;64
16254;118;-118;-52;64
16317;118;-118;-107;64
16380;118;-118;-107;64
16443;118;-118;-107;64
16506;118;-118;-107;109
16569;118;-118;-107;109
16632;117;-118;-146;109
16695;115;-118;-146;109
16758;113;-118;-146;109
16821;109;-113;-146;218
16884;107;-110;-146;218
16947;103;-104;-141;218
17010;101;-100;-141;218
17073;100;-97;-141;331
17136;98;-94;-141;331
17199;94;-86;-147;331
17262;92;-82;-147;331
17325;90;-78;-147;331
17388;88;-75;-147;97
17451;86;-75;-147;97
17514;82;-75;-172;97
17577;80;-75;-172;97
17640;75;-75;-172;173
17703;73;-73;-172;173
17766;70;-70;-172;173
17829;68;-68;-172;173
17892;66;-65;-147;173
17955;62;-60;-147;173
18018;62;-60;-147;173
18081;58;-56;-147;153
18144;56;-54;-147;153
18207;50;-50;-205;153
18270;46;-47;-205;153
18333;43;-45;-205;153
18396;40;-43;-205;186
18459;37;-40;-205;186
18522;30;-35;-205;186
18585;27;-32;-205;186
18648;24;-30;-205;186
18711;18;-24;-205;235
18774;14;-20;-193;235
18837;11;-17;-193;235
18900;8;-14;-193;235
18963;2;-7;-193;278
19026;0;-2;-193;278
19089;-3;2;-191;278
19152;-7;6;-191;278
19215;-10;11;-191;278
19278;-16;20;-191;208
19341;-19;23;-191;208
19404;-22;26;-160;208
19467;-25;30;-160;208
19530;-29;36;-160;208
19593;-32;39;-160;164
19656;-34;42;-160;164
19719;-39;47;-163;164
19782;-39;47;-163;164
19845;-44;51;-163;164
19908;-47;54;-163;182
19971;-52;59;-163;182
20034;-54;61;-153;182
20097;-56;64;-153;182
20160;-58;66;-153;182
20223;-62;71;-153;170
20286;-64;74;-153;170
20349;-66;76;-153;170
20412;-68;79;-132;170
20475;-69;81;-132;170
20538;-73;86;-132;123
20601;-74;88;-132;123
20664;-76;89;-132;123
20727;-78;91;-113;123
20790;-81;94;-113;123
20853;-82;95;-113;99
20916;-84;95;-113;99
20979;-85;95;-113;99
21042;-88;95;-120;99
21105;-90;95;-120;99
21168;-93;98;-120;152
21231;-93;98;-120;152
21294;-97;102;-117;152
21357;-98;104;-117;152
21420;-100;106;-117;152
21483;-103;111;-117;160
21546;-104;113;-117;160
21609;-106;116;-133;160
21672;-110;120;-133;160
21735;-110;120;-133;160
21798;-113;122;-133;0
21861;-115;122;-133;0
21924;-117;122;-119;0
21987;-120;122;-119;0
22050;-120;122;-119;0
22113;-123;122;-119;80
22176;-124;122;-119;80
22239;-126;122;-119;80
22302;-126;122;-43;80
22365;-126;122;-43;80
22428;-126;122;-43;0
22491;-126;122;-43;0
22554;-126;122;0;0
22617;-126;122;0;0
22680;-126;122;0;0
22743;-126;121;0;-176
22806;-126;116;0;-176
22869;-126;113;0;-176
22932;-126;110;0;-176
22995;-126;108;0;-176
23058;-126;101;0;-438
23121;-126;98;0;-438
23184;-126;94;0;-438
23247;-126;90;0;-438
23310;-126;83;0;-390
23373;-126;79;0;-390
23436;-126;76;0;-390
23499;-126;72;0;-390
23562;-126;65;0;-390
23625;-126;61;0;-363
23688;-126;58;0;-363
23751;-126;50;0;-363
23814;-126;47;0;-363
23877;-126;43;0;-363
23940;-126;39;0;-355
24003;-126;36;0;-355
24066;-126;28;0;-355
24129;-126;25;0;-355
24192;-126;21;0;-355
24255;-126;17;0;-329
24318;-126;10;0;-329
24381;-126;7;0;-329
24444;-126;3;0;-329
24507;-126;-3;0;-329
24570;-126;-8;0;-277
24633;-126;-13;0;-277
24696;-126;-23;0;-277
24759;-126;-23;0;-277
24822;-126;-32;0;-277
24885;-126;-37;0;-277
24948;-126;-40;0;-167
25011;-126;-45;0;-167
25074;-126;-48;0;-167
25137;-126;-50;0;-167
25200;-126;-53;0;-167
25263;-126;-57;0;-133
25326;-126;-58;0;-133
25389;-126;-60;0;-133
25452;-126;-62;0;-133
25515;-126;-64;0;-133
25578;-126;-67;0;-157
25641;-126;-70;0;-157
25704;-126;-72;0;-157
25767;-126;-76;0;-157
25830;-126;-78;0;-188
25893;-126;-81;0;-188
25956;-126;-83;0;-188
26019;-126;-86;0;-188
26082;-126;-91;0;-188
26145;-126;-93;0;-176
26208;-126;-96;0;-176
26271;-126;-98;0;-176
26334;-126;-104;0;-176
26397;-126;-106;0;-176
26460;-126;-109;0;-72
26523;-126;-109;0;-72
26586;-126;-109;0;-72
26649;-126;-109;0;-72
26712;-126;-109;0;-72
26775;-126;-109;0;-72
26838;-126;-109;0;-60
26901;-126;-109;0;-60
26964;-126;-109;0;-60
27027;-126;-109;0;-60
27090;-126;-109;0;-60
27153;-126;-112;0;-135
27216;-126;-114;0;-135
27279;-126;-116;0;-135
27342;-126;-120;0;-135
27405;-126;-121;0;-58
27468;-126;-121;0;-58
27531;-126;-121;0;-58
27594;-126;-121;0;-58
27657;-126;-121;0;-58
27720;-120;-121;285;0
27783;-117;-121;285;0
27846;-113;-121;285;0
27909;-109;-121;285;0
27972;-106;-121;285;0
28035;-102;-121;602;0
28098;-95;-121;602;0
28161;-91;-121;602;0
28224;-88;-121;602;0
28287;-84;-121;602;0
28350;-77;-121;623;28
28413;-73;-121;623;28
28476;-69;-121;623;28
28539;-66;-121;623;28
28602;-58;-121;639;31
28665;-55;-121;639;31
28728;-48;-121;639;31
28791;-48;-121;639;31
28854;-40;-121;639;31
28917;-37;-121;639;31
28980;-33;-121;649;43
29043;-29;-121;649;43
29106;-22;-121;649;43
29169;-18;-121;649;43
29232;-15;-121;649;43
29295;-11;-121;623;36
29358;-4;-121;623;36
29421;0;-121;623;36
29484;6;-121;623;36
29547;6;-121;623;36
29610;10;-121;571;35
29673;17;-121;571;35
29736;25;-121;571;35
29799;25;-121;571;35
29862;32;-121;547;0
29925;35;-121;547;0
29988;39;-121;547;0
30051;43;-121;547;0
30114;50;-121;547;0
30177;54;-121;495;0
30240;61;-121;495;0
30303;65;-121;495;0
30366;68;-121;495;0
30429;76;-121;407;0
30492;79;-121;407;0
30555;83;-121;407;0
30618;87;-121;407;0
30681;94;-121;407;0
30744;98;-121;200;0
30807;101;-121;200;0
30870;104;-121;200;0
30933;107;-121;200;0
30996;111;-121;200;0
31059;117;-121;200;0
31122;120;-121;200;0
31185;122;-121;139;0
31248;124;-121;139;0
31311;126;-121;139;0
31374;130;-121;139;0
31437;132;-121;139;0
31500;133;-121;0;0
31563;133;-121;0;0
31626;133;-121;0;0
31689;133;-121;0;0
31752;133;-121;0;65
31815;133;-121;0;65
31878;133;-121;0;65
31941;133;-121;0;65
32004;133;-121;0;65
32067;133;-120;0;116
32130;133;-117;0;116
32193;133;-116;-68;116
32256;133;-113;-68;116
32319;133;-113;-68;116
32382;133;-112;-68;57
32445;133;-112;-68;57
32508;133;-112;-159;57
32571;130;-112;-159;57
32634;125;-112;-159;72
32697;123;-112;-159;72
32760;119;-112;-159;72
32823;116;-112;-142;72
32886;116;-112;-142;72
32949;112;-112;-142;305
33012;110;-108;-142;305
33075;107;-101;-142;305
33138;105;-98;-142;305
33201;102;-94;-197;305
33264;95;-88;-197;135
33327;92;-86;-197;135
33390;89;-84;-197;135
33453;85;-82;-197;135
33516;82;-80;-244;135
33579;74;-76;-244;228
33642;70;-72;-244;228
33705;66;-69;-244;228
33768;59;-63;-217;228
33831;56;-60;-217;228
33894;53;-56;-217;259
33957;47;-46;-217;259
34020;44;-42;-217;259
34083;40;-37;-241;259
34146;35;-33;-241;259
34209;31;-29;-241;187
34272;28;-27;-241;187
34335;20;-22;-241;187
34398;17;-19;-221;187
34461;13;-16;-221;187
34524;7;-10;-221;223
34587;4;-7;-221;223
34650;1;-4;-221;223
34713;-4;2;-178;223
34776;-6;5;-178;231
34839;-9;8;-178;231
34902;-11;11;-178;231
34965;-16;18;-184;231
35028;-19;21;-184;231
35091;-22;24;-184;231
35154;-24;27;-184;227
35217;-27;31;-184;227
35280;-29;34;-184;227
35343;-35;40;-179;227
35406;-37;44;-179;227
35469;-39;47;-179;227
35532;-44;53;-179;230
35595;-47;57;-179;230
35658;-49;60;-186;230
35721;-52;63;-186;230
35784;-57;69;-186;191
35847;-60;72;-186;191
35910;-63;74;-186;191
35973;-68;80;-176;191
36036;-70;82;-176;191
36099;-73;84;-176;125
36162;-75;86;-176;125
36225;-80;89;-148;125
36288;-82;91;-148;125
36351;-84;93;-148;125
36414;-86;93;-148;107
36477;-90;93;-148;107
36540;-90;93;-148;107
36603;-92;93;-108;107
36666;-92;93;-108;107
36729;-92;94;-108;181
36792;-92;99;-108;181
36855;-92;102;-103;181
36918;-92;104;-103;181
36981;-92;109;-103;75
37044;-92;109;-103;75
37107;-92;109;-103;75
37170;-92;109;-141;75
37233;-94;109;-141;75
37296;-96;109;-141;75
37359;-100;109;-141;62
37422;-101;109;-141;62
37485;-103;109;-141;62
37548;-107;109;-112;62
37611;-108;109;-112;62
37674;-110;111;-112;156
37737;-113;115;-112;156
37800;-115;119;-51;156
37863;-115;122;-51;59
37926;-115;122;-51;59
37989;-115;122;-51;59
38052;-115;122;0;59
38115;-115;122;0;59
38178;-115;122;0;-82
38241;-115;122;32;-82
38304;-115;122;32;-82
38367;-115;122;32;-82
38430;-115;122;32;-32
