x;y
120;126
120;126
120;123
120;119
120;116
120;110
120;106
120;104
120;101
120;96
120;94
120;91
118;90
113;90
111;90
109;90
107;92
106;97
106;100
106;102
106;105
106;106
106;106
106;106
106;106
106;106
105;106
103;104
101;102
97;98
95;96
93;94
91;92
84;88
81;87
78;85
74;83
68;79
65;76
62;74
59;71
53;66
51;62
50;59
46;52
45;49
43;46
43;43
43;39
43;33
43;30
43;27
42;24
39;20
37;17
35;15
34;14
28;14
25;14
23;14
20;14
14;11
12;8
9;6
7;3
2;0
0;0
-2;0
-5;0
-9;0
-12;0
-17;-4
-20;-5
-23;-7
-25;-9
-28;-10
-31;-12
-36;-16
-38;-18
-42;-22
-44;-24
-46;-26
-48;-28
-50;-30
-51;-32
-55;-36
-56;-39
-58;-41
-59;-43
-62;-47
-64;-49
-65;-51
-67;-53
-70;-57
-71;-59
-73;-61
-74;-63
-77;-67
-79;-69
-80;-71
-82;-74
-83;-78
-83;-81
-83;-84
-83;-87
-83;-92
-83;-95
-83;-97
-83;-100
-83;-105
-83;-107
-85;-109
-88;-111
-92;-114
-95;-116
-97;-117
-99;-118
-102;-118
-104;-118
-106;-118
-107;-118
-108;-118
-108;-118
-108;-118
-108;-118
-108;-118
-108;-118
-108;-118
-108;-118
-108;-118
-108;-118
-108;-118
-108;-118
-108;-118
-108;-118
-108;-118
-108;-118
-108;-118
-108;-118
-108;-118
-108;-118
-112;-118
-114;-118
-116;-118
-118;-118
-120;-118
-120;-118
-120;-118
-120;-118
-120;-118
