x;y
134;-124
134;-124
134;-124
134;-124
134;-124
134;-124
134;-124
134;-124
134;-124
134;-123
134;-120
134;-118
134;-115
134;-110
134;-109
134;-109
133;-109
131;-109
126;-109
124;-109
121;-109
117;-109
114;-109
112;-109
110;-109
107;-104
103;-95
101;-91
98;-86
94;-79
91;-76
88;-74
82;-69
78;-67
75;-66
71;-66
68;-66
62;-66
59;-66
57;-64
54;-59
52;-55
50;-50
45;-41
41;-36
38;-35
36;-33
34;-31
32;-30
28;-26
26;-24
24;-22
20;-18
18;-16
16;-14
14;-12
12;-10
11;-7
7;-3
6;0
4;2
2;5
-1;10
-3;13
-7;18
-10;21
-12;23
-15;26
-17;28
-20;31
-22;33
-30;40
-32;43
-35;45
-38;47
-40;48
-45;52
-50;55
-55;59
-58;60
-63;64
-65;66
-70;71
-73;73
-75;76
-81;83
-85;88
-88;93
-92;97
-96;100
-98;101
-102;104
-104;106
-106;108
-108;111
-108;113
-108;118
-108;122
-108;124
-108;127
-108;127
-108;127
-108;127
-108;127
-108;127
-108;127
-108;127
