;time;x;y;fx;fy
;63;120;-120;0;56
;126;120;-120;0;56
;189;120;-120;0;56
;252;120;-119;0;362
;315;120;-116;0;362
;378;120;-112;0;362
;441;120;-108;0;362
;504;120;-101;0;362
;567;120;-97;0;350
;630;120;-94;0;350
;693;120;-90;0;350
;756;120;-83;0;350
;819;120;-79;0;350
;882;120;-75;0;350
;945;120;-72;0;390
;1008;120;-64;0;390
;1071;120;-61;0;390
;1134;120;-57;0;390
;1197;120;-53;0;390
;1260;120;-46;0;420
;1323;120;-42;0;420
;1386;120;-39;0;420
;1449;120;-35;0;420
;1512;120;-28;0;463
;1575;120;-24;0;463
;1638;120;-21;0;463
;1701;120;-17;0;463
;1764;120;-10;0;463
;1827;120;-6;0;445
;1890;120;-2;0;445
;1953;120;0;0;445
;2016;120;8;0;445
;2079;120;11;0;445
;2142;120;15;0;420
;2205;120;19;0;420
;2268;120;26;0;420
;2331;120;30;0;420
;2394;120;33;0;420
;2457;120;37;0;309
;2520;120;44;0;309
;2583;120;48;0;309
;2646;120;51;0;309
;2709;120;55;0;309
;2772;120;59;0;221
;2835;120;65;0;221
;2898;120;68;0;221
;2961;120;72;0;221
;3024;120;78;0;221
;3087;120;81;0;168
;3150;120;83;0;168
;3213;120;86;0;168
;3276;120;91;0;168
;3339;120;93;0;168
;3402;120;96;0;182
;3465;120;98;0;182
;3528;120;103;0;182
;3591;120;106;0;182
;3654;120;108;0;182
;3717;120;110;0;128
;3780;120;112;0;128
;3843;120;116;0;128
;3906;120;117;0;128
;3969;120;119;0;128
;4032;120;122;0;41
;4095;120;122;0;41
;4158;120;122;0;41
;4221;120;122;0;41
;4284;120;122;0;41
;4347;120;122;0;-50
;4410;120;122;0;-50
;4473;120;122;-38;-50
;4536;120;122;-38;-50
;4599;120;122;-38;-50
;4662;120;122;-38;-104
;4725;119;122;-113;-104
;4788;118;122;-113;-104
;4851;116;122;-113;-104
;4914;115;122;-113;-104
;4977;113;122;-113;-145
;5040;110;118;-120;-145
;5103;109;116;-120;-145
;5166;107;114;-120;-145
;5229;105;112;-120;-145
;5292;102;108;-120;-111
;5355;100;107;-120;-111
;5418;100;105;-92;-111
;5481;100;104;-92;-111
;5544;100;101;-92;-111
;5607;100;100;-92;-109
;5670;100;100;-92;-109
;5733;97;100;-121;-109
;5796;95;100;-121;-109
;5859;94;100;-121;-109
;5922;92;99;-121;-160
;5985;90;97;-121;-160
;6048;86;92;-158;-160
;6111;84;90;-158;-160
;6174;82;88;-158;-160
